Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
WHATIF: An open-source desktop application for extraction and management of the incidental findings from next-generation sequencing variant data.,/pubmed/25890833,"Ye Z, Kadolph C, Strenn R, Wall D, McPherson E, Lin S.",Comput Biol Med. 2016 Jan 1;68:165-9. doi: 10.1016/j.compbiomed.2015.03.028. Epub 2015 Apr 8.,Comput Biol Med.  2016,PubMed,citation,PMID:25890833 | PMCID:PMC4598261,pubmed,25890833,create date:2015/04/22 | first author:Ye Z
Generating information-rich high-throughput experimental materials genomes using functional clustering via multitree genetic programming and information theory.,/pubmed/25706328,"Suram SK, Haber JA, Jin J, Gregoire JM.",ACS Comb Sci. 2015 Apr 13;17(4):224-33. doi: 10.1021/co5001579. Epub 2015 Mar 3.,ACS Comb Sci.  2015,PubMed,citation,PMID:25706328,pubmed,25706328,create date:2015/02/24 | first author:Suram SK
A RESTful API for accessing microbial community data for MG-RAST.,/pubmed/25569221,"Wilke A, Bischof J, Harrison T, Brettin T, D'Souza M, Gerlach W, Matthews H, Paczian T, Wilkening J, Glass EM, Desai N, Meyer F.",PLoS Comput Biol. 2015 Jan 8;11(1):e1004008. doi: 10.1371/journal.pcbi.1004008. eCollection 2015 Jan.,PLoS Comput Biol.  2015,PubMed,citation,PMID:25569221 | PMCID:PMC4287624,pubmed,25569221,create date:2015/01/09 | first author:Wilke A
LORD: a phenotype-genotype semantically integrated biomedical data tool to support rare disease diagnosis coding in health information systems.,/pubmed/26958175,"Choquet R, Maaroufi M, Fonjallaz Y, de Carrara A, Vandenbussche PY, Dhombres F, Landais P.",AMIA Annu Symp Proc. 2015 Nov 5;2015:434-40. eCollection 2015.,AMIA Annu Symp Proc.  2015,PubMed,citation,PMID:26958175 | PMCID:PMC4765596,pubmed,26958175,create date:2015/01/01 | first author:Choquet R
Pathophysiological basis for compromised health beyond generations: role of maternal high-fat diet and low-grade chronic inflammation.,/pubmed/25440222,"Zhou D, Pan YX.",J Nutr Biochem. 2015 Jan;26(1):1-8. doi: 10.1016/j.jnutbio.2014.06.011. Epub 2014 Aug 19. Review.,J Nutr Biochem.  2015,PubMed,citation,PMID:25440222,pubmed,25440222,create date:2014/12/03 | first author:Zhou D
Epistasis analysis using artificial intelligence.,/pubmed/25403541,"Moore JH, Hill DP.",Methods Mol Biol. 2015;1253:327-46. doi: 10.1007/978-1-4939-2155-3_18.,Methods Mol Biol.  2015,PubMed,citation,PMID:25403541,pubmed,25403541,create date:2014/11/19 | first author:Moore JH
iReport: a generalised Galaxy solution for integrated experimental reporting.,/pubmed/25374662,"Hiltemann S, Hoogstrate Y, der Spek Pv, Jenster G, Stubbs A.",Gigascience. 2014 Oct 13;3:19. doi: 10.1186/2047-217X-3-19. eCollection 2014.,Gigascience.  2014,PubMed,citation,PMID:25374662 | PMCID:PMC4220639,pubmed,25374662,create date:2014/11/07 | first author:Hiltemann S
"A Python package for parsing, validating, mapping and formatting sequence variants using HGVS nomenclature.",/pubmed/25273102,"Hart RK, Rico R, Hare E, Garcia J, Westbrook J, Fusaro VA.",Bioinformatics. 2015 Jan 15;31(2):268-70. doi: 10.1093/bioinformatics/btu630. Epub 2014 Sep 30.,Bioinformatics.  2015,PubMed,citation,PMID:25273102 | PMCID:PMC4287946,pubmed,25273102,create date:2014/10/03 | first author:Hart RK
The Cancer Genomics Hub (CGHub): overcoming cancer through the power of torrential data.,/pubmed/25267794,"Wilks C, Cline MS, Weiler E, Diehkans M, Craft B, Martin C, Murphy D, Pierce H, Black J, Nelson D, Litzinger B, Hatton T, Maltbie L, Ainsworth M, Allen P, Rosewood L, Mitchell E, Smith B, Warner J, Groboske J, Telc H, Wilson D, et al.",Database (Oxford). 2014 Sep 29;2014. pii: bau093. doi: 10.1093/database/bau093. Print 2014.,Database (Oxford).  2014,PubMed,citation,PMID:25267794 | PMCID:PMC4178372,pubmed,25267794,create date:2014/10/01 | first author:Wilks C
Multiobjective Genetic Algorithm applied to dengue control.,/pubmed/25230238,"Florentino HO, Cantane DR, Santos FL, Bannwart BF.",Math Biosci. 2014 Dec;258:77-84. doi: 10.1016/j.mbs.2014.08.013. Epub 2014 Sep 16. Review.,Math Biosci.  2014,PubMed,citation,PMID:25230238,pubmed,25230238,create date:2014/09/18 | first author:Florentino HO
"visPIG--a web tool for producing multi-region, multi-track, multi-scale plots of genetic data.",/pubmed/25208325,"Scales M, Jäger R, Migliorini G, Houlston RS, Henrion MY.",PLoS One. 2014 Sep 10;9(9):e107497. doi: 10.1371/journal.pone.0107497. eCollection 2014.,PLoS One.  2014,PubMed,citation,PMID:25208325 | PMCID:PMC4160258,pubmed,25208325,create date:2014/09/11 | first author:Scales M
A simple modelling approach for prediction of standard state real gas entropy of pure materials.,/pubmed/25158071,"Bagheri M, Borhani TN, Gandomi AH, Manan ZA.",SAR QSAR Environ Res. 2014;25(9):695-710. doi: 10.1080/1062936X.2014.942356. Epub 2014 Aug 26.,SAR QSAR Environ Res.  2014,PubMed,citation,PMID:25158071,pubmed,25158071,create date:2014/08/27 | first author:Bagheri M
Fetal alcohol programming of hypothalamic proopiomelanocortin system by epigenetic mechanisms and later life vulnerability to stress.,/pubmed/25069392,"Bekdash R, Zhang C, Sarkar D.",Alcohol Clin Exp Res. 2014 Sep;38(9):2323-30. doi: 10.1111/acer.12497. Epub 2014 Jul 28. Review.,Alcohol Clin Exp Res.  2014,PubMed,citation,PMID:25069392 | PMCID:PMC4177357,pubmed,25069392,create date:2014/07/30 | first author:Bekdash R
Prenatal alcohol exposure alters expression of neurogenesis-related genes in an ex vivo cell culture model.,/pubmed/24954023,"Tyler CR, Allan AM.",Alcohol. 2014 Aug;48(5):483-92. doi: 10.1016/j.alcohol.2014.06.001. Epub 2014 Jun 7.,Alcohol.  2014,PubMed,citation,PMID:24954023 | PMCID:PMC4096774,pubmed,24954023,create date:2014/06/24 | first author:Tyler CR
"Optimal Modeling of Urban Ambient Air Ozone Concentration Based on Its Precursors' Concentrations and Temperature, Employing Genetic Programming and Genetic Algorithm.",/pubmed/26563066,"Mousavi SM, Husseinzadeh D, Alikhani S.",J Environ Sci Eng. 2014 Apr;56(2):199-208.,J Environ Sci Eng.  2014,PubMed,citation,PMID:26563066,pubmed,26563066,create date:2014/04/01 | first author:Mousavi SM
Advancing data reuse in phyloinformatics using an ontology-driven Semantic Web approach.,/pubmed/24565381,"Panahiazar M, Sheth AP, Ranabahu A, Vos RA, Leebens-Mack J.",BMC Med Genomics. 2013;6 Suppl 3:S5. doi: 10.1186/1755-8794-6-S3-S5. Epub 2013 Nov 11.,BMC Med Genomics.  2013,PubMed,citation,PMID:24565381 | PMCID:PMC3980757,pubmed,24565381,create date:2014/02/26 | first author:Panahiazar M
On control of singleton attractors in multiple Boolean networks: integer programming-based method.,/pubmed/24565276,"Qiu Y, Tamura T, Ching WK, Akutsu T.",BMC Syst Biol. 2014;8 Suppl 1:S7. doi: 10.1186/1752-0509-8-S1-S7. Epub 2014 Jan 24.,BMC Syst Biol.  2014,PubMed,citation,PMID:24565276 | PMCID:PMC4080371,pubmed,24565276,create date:2014/02/26 | first author:Qiu Y
Random forests on Hadoop for genome-wide association studies of multivariate neuroimaging phenotypes.,/pubmed/24564704,"Wang Y, Goh W, Wong L, Montana G; Alzheimer's Disease Neuroimaging Initiative..",BMC Bioinformatics. 2013;14 Suppl 16:S6. doi: 10.1186/1471-2105-14-S16-S6. Epub 2013 Oct 22.,BMC Bioinformatics.  2013,PubMed,citation,PMID:24564704 | PMCID:PMC3853073,pubmed,24564704,create date:2014/02/26 | first author:Wang Y
Cellular reprogramming and hepatocellular carcinoma development.,/pubmed/24379607,"Zheng YW, Nie YZ, Taniguchi H.",World J Gastroenterol. 2013 Dec 21;19(47):8850-60. doi: 10.3748/wjg.v19.i47.8850. Review.,World J Gastroenterol.  2013,PubMed,citation,PMID:24379607 | PMCID:PMC3870535,pubmed,24379607,create date:2014/01/01 | first author:Zheng YW
CyanoBase and RhizoBase: databases of manually curated annotations for cyanobacterial and rhizobial genomes.,/pubmed/24275496,"Fujisawa T, Okamoto S, Katayama T, Nakao M, Yoshimura H, Kajiya-Kanegae H, Yamamoto S, Yano C, Yanaka Y, Maita H, Kaneko T, Tabata S, Nakamura Y.",Nucleic Acids Res. 2014 Jan;42(Database issue):D666-70. doi: 10.1093/nar/gkt1145. Epub 2013 Nov 25.,Nucleic Acids Res.  2014,PubMed,citation,PMID:24275496 | PMCID:PMC3965071,pubmed,24275496,create date:2013/11/28 | first author:Fujisawa T
Tripal v1.1: a standards-based toolkit for construction of online genetic and genomic databases.,/pubmed/24163125,"Sanderson LA, Ficklin SP, Cheng CH, Jung S, Feltus FA, Bett KE, Main D.",Database (Oxford). 2013 Oct 25;2013:bat075. doi: 10.1093/database/bat075. Print 2013.,Database (Oxford).  2013,PubMed,citation,PMID:24163125 | PMCID:PMC3808541,pubmed,24163125,create date:2013/10/29 | first author:Sanderson LA
Guide: a desktop application for analysing gene expression data.,/pubmed/24093424,Choi J.,BMC Genomics. 2013 Oct 7;14:688. doi: 10.1186/1471-2164-14-688.,BMC Genomics.  2013,PubMed,citation,PMID:24093424 | PMCID:PMC3815230,pubmed,24093424,create date:2013/10/08 | first author:Choi J
Genetic programming and serial processing for time series classification.,/pubmed/24032750,"Alfaro-Cid E, Sharman K, Esparcia-Alcázar AI.",Evol Comput. 2014 Summer;22(2):265-85. doi: 10.1162/EVCO_a_00110. Epub 2014 Feb 6.,Evol Comput.  2014,PubMed,citation,PMID:24032750,pubmed,24032750,create date:2013/09/17 | first author:Alfaro-Cid E
"metabolicMine: an integrated genomics, genetics and proteomics data warehouse for common metabolic disease research.",/pubmed/23935057,"Lyne M, Smith RN, Lyne R, Aleksic J, Hu F, Kalderimis A, Stepan R, Micklem G.",Database (Oxford). 2013 Aug 9;2013:bat060. doi: 10.1093/database/bat060. Print 2013.,Database (Oxford).  2013,PubMed,citation,PMID:23935057 | PMCID:PMC4438919,pubmed,23935057,create date:2013/08/13 | first author:Lyne M
Hidden ancient repeats in DNA: mapping and quantification.,/pubmed/23872203,"Frenkel ZM, Barzily Z, Volkovich Z, Trifonov EN.",Gene. 2013 Oct 10;528(2):282-7. doi: 10.1016/j.gene.2013.06.059. Epub 2013 Jul 16.,Gene.  2013,PubMed,citation,PMID:23872203,pubmed,23872203,create date:2013/07/23 | first author:Frenkel ZM
Genetic programming-based approach to elucidate biochemical interaction networks from data.,/pubmed/23848052,"Kandpal M, Kalyan CM, Samavedham L.",IET Syst Biol. 2013 Feb;7(1):18-25.,IET Syst Biol.  2013,PubMed,citation,PMID:23848052,pubmed,23848052,create date:2013/07/16 | first author:Kandpal M
Network-based penalized regression with application to genomic data.,/pubmed/23822182,"Kim S, Pan W, Shen X.",Biometrics. 2013 Sep;69(3):582-93. doi: 10.1111/biom.12035. Epub 2013 Jul 3.,Biometrics.  2013,PubMed,citation,PMID:23822182 | PMCID:PMC4007772,pubmed,23822182,create date:2013/07/05 | first author:Kim S
[On the problems of the evolutionary optimization of life history. II. To justification of optimization criterion for nonlinear Leslie model].,/pubmed/23755539,Pasekov VP.,Genetika. 2013 Mar;49(3):400-9. Russian. ,Genetika.  2013,PubMed,citation,PMID:23755539,pubmed,23755539,create date:2013/06/13 | first author:Pasekov VP
Micro-Analyzer: automatic preprocessing of Affymetrix microarray data.,/pubmed/23731720,"Guzzi PH, Cannataro M.",Comput Methods Programs Biomed. 2013 Aug;111(2):402-9. doi: 10.1016/j.cmpb.2013.04.006. Epub 2013 May 31.,Comput Methods Programs Biomed.  2013,PubMed,citation,PMID:23731720,pubmed,23731720,create date:2013/06/05 | first author:Guzzi PH
Synthetic biology and genetic causation.,/pubmed/23591049,"Oftedal G, Parkkinen VP.",Stud Hist Philos Biol Biomed Sci. 2013 Jun;44(2):208-16. doi: 10.1016/j.shpsc.2013.03.016. Epub 2013 Apr 13.,Stud Hist Philos Biol Biomed Sci.  2013,PubMed,citation,PMID:23591049,pubmed,23591049,create date:2013/04/18 | first author:Oftedal G
AUREA: an open-source software system for accurate and user-friendly identification of relative expression molecular signatures.,/pubmed/23496976,"Earls JC, Eddy JA, Funk CC, Ko Y, Magis AT, Price ND.",BMC Bioinformatics. 2013 Mar 5;14:78. doi: 10.1186/1471-2105-14-78.,BMC Bioinformatics.  2013,PubMed,citation,PMID:23496976 | PMCID:PMC3599560,pubmed,23496976,create date:2013/03/19 | first author:Earls JC
Open source libraries and frameworks for mass spectrometry based proteomics: a developer's perspective.,/pubmed/23467006,"Perez-Riverol Y, Wang R, Hermjakob H, Müller M, Vesada V, Vizcaíno JA.",Biochim Biophys Acta. 2014 Jan;1844(1 Pt A):63-76. doi: 10.1016/j.bbapap.2013.02.032. Epub 2013 Mar 1. Review.,Biochim Biophys Acta.  2014,PubMed,citation,PMID:23467006 | PMCID:PMC3898926,pubmed,23467006,create date:2013/03/08 | first author:Perez-Riverol Y
Covariate-Adjusted Precision Matrix Estimation with an Application in Genetical Genomics.,/pubmed/28316337,"Cai TT, Li H, Liu W, Xie J.",Biometrika. 2013 Mar;100(1):139-156. doi: 10.1093/biomet/ass058. Epub 2012 Nov 30.,Biometrika.  2013,PubMed,citation,PMID:28316337 | PMCID:PMC5351557,pubmed,28316337,create date:2013/03/01 | first author:Cai TT
Bloat free genetic programming: application to human oral bioavailability prediction.,/pubmed/23356009,"Silva S, Vanneschi L.",Int J Data Min Bioinform. 2012;6(6):585-601.,Int J Data Min Bioinform.  2012,PubMed,citation,PMID:23356009,pubmed,23356009,create date:2013/01/30 | first author:Silva S
A mixed integer linear programming model to reconstruct phylogenies from single nucleotide polymorphism haplotypes under the maximum parsimony criterion.,/pubmed/23343437,"Catanzaro D, Ravi R, Schwartz R.",Algorithms Mol Biol. 2013 Jan 23;8(1):3. doi: 10.1186/1748-7188-8-3.,Algorithms Mol Biol.  2013,PubMed,citation,PMID:23343437 | PMCID:PMC3599976,pubmed,23343437,create date:2013/01/25 | first author:Catanzaro D
Genetic programming as alternative for predicting development effort of individual software projects.,/pubmed/23226305,"Chavoya A, Lopez-Martin C, Andalon-Garcia IR, Meda-Campaña ME.",PLoS One. 2012;7(11):e50531. doi: 10.1371/journal.pone.0050531. Epub 2012 Nov 30.,PLoS One.  2012,PubMed,citation,PMID:23226305 | PMCID:PMC3511534,pubmed,23226305,create date:2012/12/12 | first author:Chavoya A
The Disease and Gene Annotations (DGA): an annotation resource for human disease.,/pubmed/23197658,"Peng K, Xu W, Zheng J, Huang K, Wang H, Tong J, Lin Z, Liu J, Cheng W, Fu D, Du P, Kibbe WA, Lin SM, Xia T.",Nucleic Acids Res. 2013 Jan;41(Database issue):D553-60. doi: 10.1093/nar/gks1244. Epub 2012 Nov 28.,Nucleic Acids Res.  2013,PubMed,citation,PMID:23197658 | PMCID:PMC3531051,pubmed,23197658,create date:2012/12/01 | first author:Peng K
Behavioral epigenetics and the developmental origins of child mental health disorders.,/pubmed/25084292,"Lester BM, Marsit CJ, Conradt E, Bromer C, Padbury JF.",J Dev Orig Health Dis. 2012 Dec;3(6):395-408. doi: 10.1017/S2040174412000426. Review.,J Dev Orig Health Dis.  2012,PubMed,citation,PMID:25084292,pubmed,25084292,create date:2012/12/01 | first author:Lester BM
Data mining in the MetaCyc family of pathway databases.,/pubmed/23192547,"Karp PD, Paley S, Altman T.",Methods Mol Biol. 2013;939:183-200. doi: 10.1007/978-1-62703-107-3_12.,Methods Mol Biol.  2013,PubMed,citation,PMID:23192547 | PMCID:PMC3694719,pubmed,23192547,create date:2012/11/30 | first author:Karp PD
Programmable active droplet generation enabled by integrated pneumatic micropumps.,/pubmed/23160148,"Zeng Y, Shin M, Wang T.",Lab Chip. 2013 Jan 21;13(2):267-73. doi: 10.1039/c2lc40906b. Epub 2012 Nov 16.,Lab Chip.  2013,PubMed,citation,PMID:23160148,pubmed,23160148,create date:2012/11/20 | first author:Zeng Y
The Ruby UCSC API: accessing the UCSC genome database using Ruby.,/pubmed/22994508,"Mishima H, Aerts J, Katayama T, Bonnal RJ, Yoshiura K.",BMC Bioinformatics. 2012 Sep 21;13:240. doi: 10.1186/1471-2105-13-240.,BMC Bioinformatics.  2012,PubMed,citation,PMID:22994508 | PMCID:PMC3542311,pubmed,22994508,create date:2012/09/22 | first author:Mishima H
An integrated approach to identify causal network modules of complex diseases with application to colorectal cancer.,/pubmed/22967703,"Wen Z, Liu ZP, Liu Z, Zhang Y, Chen L.",J Am Med Inform Assoc. 2013 Jul-Aug;20(4):659-67. doi: 10.1136/amiajnl-2012-001168. Epub 2012 Sep 11.,J Am Med Inform Assoc.  2013,PubMed,citation,PMID:22967703 | PMCID:PMC3721155,pubmed,22967703,create date:2012/09/13 | first author:Wen Z
PPTOX III: environmental stressors in the developmental origins of disease--evidence and mechanisms.,/pubmed/22956631,"Schug TT, Barouki R, Gluckman PD, Grandjean P, Hanson M, Heindel JJ.",Toxicol Sci. 2013 Feb;131(2):343-50. doi: 10.1093/toxsci/kfs267. Epub 2012 Sep 5.,Toxicol Sci.  2013,PubMed,citation,PMID:22956631 | PMCID:PMC3551422,pubmed,22956631,create date:2012/09/08 | first author:Schug TT
Quality by design approach: application of artificial intelligence techniques of tablets manufactured by direct compression.,/pubmed/22956056,"Aksu B, Paradkar A, de Matas M, Ozer O, Güneri T, York P.",AAPS PharmSciTech. 2012 Dec;13(4):1138-46. doi: 10.1208/s12249-012-9836-x. Epub 2012 Sep 6.,AAPS PharmSciTech.  2012,PubMed,citation,PMID:22956056 | PMCID:PMC3513460,pubmed,22956056,create date:2012/09/08 | first author:Aksu B
"Avogadro: an advanced semantic chemical editor, visualization, and analysis platform.",/pubmed/22889332,"Hanwell MD, Curtis DE, Lonie DC, Vandermeersch T, Zurek E, Hutchison GR.",J Cheminform. 2012 Aug 13;4(1):17. doi: 10.1186/1758-2946-4-17.,J Cheminform.  2012,PubMed,citation,PMID:22889332 | PMCID:PMC3542060,pubmed,22889332,create date:2012/08/15 | first author:Hanwell MD
The synergistic effect of beta-boswellic acid and Nurr1 overexpression on dopaminergic programming of antioxidant glutathione peroxidase-1-expressing murine embryonic stem cells.,/pubmed/22800564,"Abasi M, Massumi M, Riazi G, Amini H.",Neuroscience. 2012 Oct 11;222:404-16. doi: 10.1016/j.neuroscience.2012.07.009. Epub 2012 Jul 16.,Neuroscience.  2012,PubMed,citation,PMID:22800564,pubmed,22800564,create date:2012/07/18 | first author:Abasi M
Cellular reprogramming--lowering gravity on Waddington's epigenetic landscape.,/pubmed/22736045,Takahashi K.,J Cell Sci. 2012 Jun 1;125(Pt 11):2553-60. doi: 10.1242/jcs.084822. Epub 2012 Jun 26. Review.,J Cell Sci.  2012,PubMed,citation,PMID:22736045,pubmed,22736045,create date:2012/06/28 | first author:Takahashi K
Application of artificial neural networks (ANNs) and genetic programming (GP) for prediction of drug release from solid lipid matrices.,/pubmed/22728260,"Güres S, Mendyk A, Jachowicz R, Dorożyński P, Kleinebudde P.",Int J Pharm. 2012 Oct 15;436(1-2):877-9. doi: 10.1016/j.ijpharm.2012.05.021. Epub 2012 Jun 21.,Int J Pharm.  2012,PubMed,citation,PMID:22728260,pubmed,22728260,create date:2012/06/26 | first author:Güres S
RegPrecise web services interface: programmatic access to the transcriptional regulatory interactions in bacteria reconstructed by comparative genomics.,/pubmed/22700702,"Novichkov PS, Brettin TS, Novichkova ES, Dehal PS, Arkin AP, Dubchak I, Rodionov DA.",Nucleic Acids Res. 2012 Jul;40(Web Server issue):W604-8. doi: 10.1093/nar/gks562. Epub 2012 Jun 14.,Nucleic Acids Res.  2012,PubMed,citation,PMID:22700702 | PMCID:PMC3394319,pubmed,22700702,create date:2012/06/16 | first author:Novichkov PS
"A survey of application: genomics and genetic programming, a new frontier.",/pubmed/22683715,"Khan MW, Alam M.",Genomics. 2012 Aug;100(2):65-71. doi: 10.1016/j.ygeno.2012.05.014. Epub 2012 Jun 5. Review.,Genomics.  2012,PubMed,citation,PMID:22683715,pubmed,22683715,create date:2012/06/12 | first author:Khan MW
MicrobeDB: a locally maintainable database of microbial genomic sequences.,/pubmed/22576174,"Langille MG, Laird MR, Hsiao WW, Chiu TA, Eisen JA, Brinkman FS.",Bioinformatics. 2012 Jul 15;28(14):1947-8. doi: 10.1093/bioinformatics/bts273. Epub 2012 May 9.,Bioinformatics.  2012,PubMed,citation,PMID:22576174 | PMCID:PMC3389766,pubmed,22576174,create date:2012/05/12 | first author:Langille MG
DAVID-WS: a stateful web service to facilitate gene/protein list analysis.,/pubmed/22543366,"Jiao X, Sherman BT, Huang da W, Stephens R, Baseler MW, Lane HC, Lempicki RA.",Bioinformatics. 2012 Jul 1;28(13):1805-6. doi: 10.1093/bioinformatics/bts251. Epub 2012 Apr 27.,Bioinformatics.  2012,PubMed,citation,PMID:22543366 | PMCID:PMC3381967,pubmed,22543366,create date:2012/05/01 | first author:Jiao X
Thermodynamic state ensemble models of cis-regulation.,/pubmed/22479169,"Sherman MS, Cohen BA.",PLoS Comput Biol. 2012;8(3):e1002407. doi: 10.1371/journal.pcbi.1002407. Epub 2012 Mar 29.,PLoS Comput Biol.  2012,PubMed,citation,PMID:22479169 | PMCID:PMC3315449,pubmed,22479169,create date:2012/04/06 | first author:Sherman MS
Flexible programming of cell-free protein synthesis using magnetic bead-immobilized plasmids.,/pubmed/22470570,"Lee KY, Lee KH, Park JW, Kim DM.",PLoS One. 2012;7(3):e34429. doi: 10.1371/journal.pone.0034429. Epub 2012 Mar 28.,PLoS One.  2012,PubMed,citation,PMID:22470570 | PMCID:PMC3314631,pubmed,22470570,create date:2012/04/04 | first author:Lee KY
Clinical application of metabolomics in neonatology.,/pubmed/22339399,"Fanos V, Antonucci R, Barberini L, Noto A, Atzori L.",J Matern Fetal Neonatal Med. 2012 Apr;25 Suppl 1:104-9. doi: 10.3109/14767058.2012.663198. Epub 2012 Mar 16. Review.,J Matern Fetal Neonatal Med.  2012,PubMed,citation,PMID:22339399,pubmed,22339399,create date:2012/02/22 | first author:Fanos V
Epigenomics in environmental health.,/pubmed/22303378,"Christensen BC, Marsit CJ.",Front Genet. 2011 Nov 22;2:84. doi: 10.3389/fgene.2011.00084. eCollection 2011.,Front Genet.  2011,PubMed,citation,PMID:22303378 | PMCID:PMC3268636,pubmed,22303378,create date:2012/02/04 | first author:Christensen BC
[Universal algoritihms for paternity index in trios and its extended application].,/pubmed/22259858,"Que TZ, Zhang SH, Zhao SM.",Fa Yi Xue Za Zhi. 2011 Oct;27(5):334-6. Chinese. ,Fa Yi Xue Za Zhi.  2011,PubMed,citation,PMID:22259858,pubmed,22259858,create date:2012/01/21 | first author:Que TZ
A comparison of different feature extraction methods for diagnosis of valvular heart diseases using PCG signals.,/pubmed/22149293,"Rouhani M, Abdoli R.",J Med Eng Technol. 2012 Jan;36(1):42-9. doi: 10.3109/03091902.2011.634946. Epub 2011 Dec 10.,J Med Eng Technol.  2012,PubMed,citation,PMID:22149293,pubmed,22149293,create date:2011/12/14 | first author:Rouhani M
Optimal deconvolution of transcriptional profiling data using quadratic programming with application to complex clinical blood samples.,/pubmed/22110609,"Gong T, Hartmann N, Kohane IS, Brinkmann V, Staedtler F, Letzkus M, Bongiovanni S, Szustakowski JD.",PLoS One. 2011;6(11):e27156. doi: 10.1371/journal.pone.0027156. Epub 2011 Nov 16.,PLoS One.  2011,PubMed,citation,PMID:22110609 | PMCID:PMC3217948,pubmed,22110609,create date:2011/11/24 | first author:Gong T
Programming research: where are we and where do we go from here?,/pubmed/22089444,"Koletzko B, Symonds ME, Olsen SF; Early Nutrition Programming Project.; Early Nutrition Academy..",Am J Clin Nutr. 2011 Dec;94(6 Suppl):2036S-2043S. doi: 10.3945/ajcn.111.018903. Epub 2011 Nov 16. Review.,Am J Clin Nutr.  2011,PubMed,citation,PMID:22089444,pubmed,22089444,create date:2011/11/18 | first author:Koletzko B
The Mouse Genome Database (MGD): comprehensive resource for genetics and genomics of the laboratory mouse.,/pubmed/22075990,"Eppig JT, Blake JA, Bult CJ, Kadin JA, Richardson JE; Mouse Genome Database Group..",Nucleic Acids Res. 2012 Jan;40(Database issue):D881-6. doi: 10.1093/nar/gkr974. Epub 2011 Nov 10.,Nucleic Acids Res.  2012,PubMed,citation,PMID:22075990 | PMCID:PMC3245042,pubmed,22075990,create date:2011/11/15 | first author:Eppig JT
"WormBase 2012: more genomes, more data, new website.",/pubmed/22067452,"Yook K, Harris TW, Bieri T, Cabunoc A, Chan J, Chen WJ, Davis P, de la Cruz N, Duong A, Fang R, Ganesan U, Grove C, Howe K, Kadam S, Kishore R, Lee R, Li Y, Muller HM, Nakamura C, Nash B, Ozersky P, Paulini M, et al.",Nucleic Acids Res. 2012 Jan;40(Database issue):D735-41. doi: 10.1093/nar/gkr954. Epub 2011 Nov 8.,Nucleic Acids Res.  2012,PubMed,citation,PMID:22067452 | PMCID:PMC3245152,pubmed,22067452,create date:2011/11/10 | first author:Yook K
"GeoSymbio: a hybrid, cloud-based web application of global geospatial bioinformatics and ecoinformatics for Symbiodinium-host symbioses.",/pubmed/22018222,"Franklin EC, Stat M, Pochon X, Putnam HM, Gates RD.",Mol Ecol Resour. 2012 Mar;12(2):369-73. doi: 10.1111/j.1755-0998.2011.03081.x. Epub 2011 Oct 24.,Mol Ecol Resour.  2012,PubMed,citation,PMID:22018222,pubmed,22018222,create date:2011/10/25 | first author:Franklin EC
Tripal: a construction toolkit for online genome databases.,/pubmed/21959868,"Ficklin SP, Sanderson LA, Cheng CH, Staton ME, Lee T, Cho IH, Jung S, Bett KE, Main D.",Database (Oxford). 2011 Sep 29;2011:bar044. doi: 10.1093/database/bar044. Print 2011.,Database (Oxford).  2011,PubMed,citation,PMID:21959868 | PMCID:PMC3263599,pubmed,21959868,create date:2011/10/01 | first author:Ficklin SP
Large-scale bi-level strain design approaches and mixed-integer programming solution techniques.,/pubmed/21949695,"Kim J, Reed JL, Maravelias CT.",PLoS One. 2011;6(9):e24162. doi: 10.1371/journal.pone.0024162. Epub 2011 Sep 9.,PLoS One.  2011,PubMed,citation,PMID:21949695 | PMCID:PMC3175644,pubmed,21949695,create date:2011/09/29 | first author:Kim J
Hierarchical parallelization of gene differential association analysis.,/pubmed/21936916,"Needham M, Hu R, Dwarkadas S, Qiu X.",BMC Bioinformatics. 2011 Sep 21;12:374. doi: 10.1186/1471-2105-12-374.,BMC Bioinformatics.  2011,PubMed,citation,PMID:21936916 | PMCID:PMC3248234,pubmed,21936916,create date:2011/09/23 | first author:Needham M
International Cancer Genome Consortium Data Portal--a one-stop shop for cancer genomics data.,/pubmed/21930502,"Zhang J, Baran J, Cros A, Guberman JM, Haider S, Hsu J, Liang Y, Rivkin E, Wang J, Whitty B, Wong-Erasmus M, Yao L, Kasprzyk A.",Database (Oxford). 2011 Sep 19;2011:bar026. doi: 10.1093/database/bar026. Print 2011.,Database (Oxford).  2011,PubMed,citation,PMID:21930502 | PMCID:PMC3263593,pubmed,21930502,create date:2011/09/21 | first author:Zhang J
"Dasty3, a WEB framework for DAS.",/pubmed/21798964,"Villaveces JM, Jimenez RC, Garcia LJ, Salazar GA, Gel B, Mulder N, Martin M, Garcia A, Hermjakob H.",Bioinformatics. 2011 Sep 15;27(18):2616-7. doi: 10.1093/bioinformatics/btr433. Epub 2011 Jul 28.,Bioinformatics.  2011,PubMed,citation,PMID:21798964 | PMCID:PMC3167052,pubmed,21798964,create date:2011/07/30 | first author:Villaveces JM
